data_coleta,rodovia,impacto,aviso
2025-06-26,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 149 ao 160, do Posto Porteirinha em Ipê a Tenda do Beleza em Campestre da Serra, pare e siga para reconstrução de canaleta, manutenção do sistema de drenagem e reparo em guarda corpo;"
2025-06-26,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 21, do posto da PRE em Portão a entrada principal de São Sebastião do Caí, para manutenção da faixa de domínio;"
2025-06-26,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 25 ao 36, do Posto Alles ao Posto Gambino em Bom Princípio, serviços gerais da conserva e aferição de radar;"
2025-06-26,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 60 ao 168, do Restaurante Beija Flor em Farroupilha ao trevo de acesso a Campestre da Serra, para serviços gerais da conserva, manutenção de sinalização, do sistema de drenagem e faixa de domínio;"
2025-06-27,ERS-446,OBRAS COM IMPACTO NO TRAFEGO,"*Km 12, próximo a Ponte em Carlos Barbosa, pare e siga para manutenção da faixa de domínio;"
2025-06-27,RSC-287,OBRAS COM IMPACTO NO TRAFEGO,"*Km 07 ao 08, próximo ao antigo Frigonal em Montenegro, pare e siga para aferição de radar e manutenção do sistema de drenagem;"
2025-06-27,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*km 00 ao 14, do Viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa, manutenção da faixa de domínio e sistema de drenagem;."
2025-06-27,BRS-470,OBRAS COM IMPACTO NO TRAFEGO,"*Km 231 ao 233, próximo a Tramontina em Carlos Barbosa, fechamento de faixa para manutenção da faixa de domínio;"
2025-06-27,BRS-470,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 220 ao 233, do Trevo de Santa Tereza em Bento Gonçalves ao trevo de acesso a Montenegro em Carlos Barbosa, manutenção da faixa de domínio e sistema de drenagem;"
2025-06-27,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 06 ao 21, do Zimmer Express em Montenegro ao trevo de Triunfo, serviços gerais da conserva e manutenção da faixa de domínio;"
2025-06-27,RSC-453,OBRAS COM IMPACTO NO TRAFEGO,"*Km 120, próximo ao Trevo de Farroupilha, estreitamento de pista para instalação de meios fios;"
2025-06-27,RSC-453,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 101 ao 121, do trevo de entroncamento com a BRS-470 em Garibaldi ao entroncamento com a ERS-122 em Farroupilha. manutenção da faixa de domínio e sistema de drenagem;"
2025-06-27,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 02, próximo a Belplast em São Leopoldo, pare e siga para aferição de radar;"
2025-06-27,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 14, próximo ao posto Shell Portão, pare e siga para aferição de radar;"
2025-06-27,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 22, próximo ao campo de futebol em Capela de Santana, pare e siga para aferição de radar;"
2025-06-27,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 14, do viaduto da Scharlau ao Posto Schell Portão, serviços gerais da conserva, instalação de meios fios e manutenção da faixa de domínio;"
2025-06-27,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 09 ao 10, próximo ao GM Car em São Sebastião do Caí, estreitamento de pista para pintura;"
2025-06-27,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 15 ao 20, da entrada principal de São Sebastião do Caí ao Finkler em Bom Princípio, estreitamento de pista para pintura de sinalização e fresagem e recomposição;"
2025-06-27,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 36 ao 38, próximo ao Posto Gambino em Bom Princípio, estreitamento de pista para manutenção do sistema de drenagem;"
2025-06-27,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 40 ao 70, do pequeno refúgio em São Vendelino ao posto Squizzato em Caxias do Sul, pare e siga e estreitamento de pista para pintura, reparo localizado, instalação de meios fios e implantação de defensa metálica;"
2025-06-27,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 127, próximo a Mecânica Ouro Diesel em Antônio Prado, estreitamento de pista para conformação de terreno e concretagem;"
2025-06-27,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 149 ao 160, do Sair Kana em Ipê a Tenda do Beleza em Campestre da Serra, pare e siga para reconstrução de canaleta e manutenção do sistema de drenagem;"
2025-06-27,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 03, do posto da PRE ao em Portão à Floricultura das Plantas, manutenção da faixa de domínio;"
2025-06-27,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 12 ao 24, do acesso ao Vale do Caí ao Reinehr Móveis em Bom Princípio , manutenção da faixa de domínio e sistema de drenagem;"
2025-06-27,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 39 ao 168, do refúgio em São Vendelino ao trevo de acesso a Campestre da Serra, para serviços gerais da conserva, manutenção de sinalização, do sistema de drenagem e faixa de domínio;"
2025-06-28,ERS-446,OBRAS COM IMPACTO NO TRAFEGO,"*Km 12, próximo a Ponte em Carlos Barbosa, pare e siga para manutenção da faixa de domínio;"
2025-06-28,RSC-287,OBRAS COM IMPACTO NO TRAFEGO,"*Km 07 ao 08, próximo ao antigo Frigonal em Montenegro, pare e siga para aferição de radar e manutenção do sistema de drenagem;"
2025-06-28,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*km 00 ao 14, do Viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa, manutenção da faixa de domínio e sistema de drenagem;."
2025-06-28,BRS-470,OBRAS COM IMPACTO NO TRAFEGO,"*Km 231 ao 233, próximo a Tramontina em Carlos Barbosa, fechamento de faixa para manutenção da faixa de domínio;"
2025-06-28,BRS-470,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 220 ao 233, do Trevo de Santa Tereza em Bento Gonçalves ao trevo de acesso a Montenegro em Carlos Barbosa, manutenção da faixa de domínio e sistema de drenagem;"
2025-06-28,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 06 ao 21, do Zimmer Express em Montenegro ao trevo de Triunfo, serviços gerais da conserva e manutenção da faixa de domínio;"
2025-06-28,RSC-453,OBRAS COM IMPACTO NO TRAFEGO,"*Km 120, próximo ao Trevo de Farroupilha, estreitamento de pista para instalação de meios fios;"
2025-06-28,RSC-453,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 101 ao 121, do trevo de entroncamento com a BRS-470 em Garibaldi ao entroncamento com a ERS-122 em Farroupilha. manutenção da faixa de domínio e sistema de drenagem;"
2025-06-28,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 02, próximo a Belplast em São Leopoldo, pare e siga para aferição de radar;"
2025-06-28,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 14, próximo ao posto Shell Portão, pare e siga para aferição de radar;"
2025-06-28,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 22, próximo ao campo de futebol em Capela de Santana, pare e siga para aferição de radar;"
2025-06-28,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 14, do viaduto da Scharlau ao Posto Schell Portão, serviços gerais da conserva, instalação de meios fios e manutenção da faixa de domínio;"
